Scheme Name,Details,Entities
LIDCOM 50% Subsidy Scheme,"Being implemented particularly for the (Scheduled Caste) Charmakar Community, the ""50% Subsidy Scheme"" is a scheme by the Leather Industries Development Corporation (LIDCOM), Govt. of Maharashtra. In this scheme, 50% amount is being given as a subsidy on a maximum loan amount of ₹50,000/-. The subsidy is subject to the maximum limit of ₹10,000/-. The bank charge of interest is as per the existing rate. Only citizens who are permanent residents of the state of Maharashtra are eligible to apply for this scheme. This scheme is completely funded by the Govt. of Maharashtra. The main objective of LIDCOM is to implement various schemes to uplift the lifestyle of Charmakars (Dhor, Chambhar, Holar, Mochi, etc.) who are economically weak and below the poverty line and with an intention to develop them educationally, economically, and socially so as to give them a respectable place in society.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [""Govt"", ""Charmakars""], ""OCCUPATION"": [], ""INCOME"": [""50,000/-"", ""10,000/-""], ""SOCIAL_CATEGORY"": [""Scheduled Caste""], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Indira Gandhi National Disability Pension Scheme (Jammu and Kashmir),"Launched on 15th August 1995, the scheme ""Indira Gandhi National Disability Pension Scheme (IGNDPS)"" is a pension scheme by the Social Welfare Department, Union Territory of Jammu and Kashmir. The scheme provides ₹1,000/- per month to BPL individuals aged 18 to 79 who have severe or multiple disabilities. Launched under the National Social Assistance Programme (NSAP), the scheme aims to ensure social justice by providing financial support to the most vulnerable sections of society, fulfilling the Directive Principles of State Policy.","{""AGE"": [""15th August 1995""], ""GENDER"": [], ""LOCATION"": [""Jammu""], ""OCCUPATION"": [], ""INCOME"": [""1,000/-""], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": [""Disability""]}"
Shikshashree Scheme,"The scheme ""Shikshashree Scheme” was implemented by the Government of West Bengal during 2014-15 by merging the existing schemes of Book Grants & Maintenance Grants to provide financial assistance to Schedule Caste students studying in classes V to VIII.
Formerly, day-scholar students of classes V-VIII belonging to the Scheduled Caste category enjoyed two grants namely a) assistance in the form of a book grant and b) assistance in the form of a maintenance grant. The number of such grants was meager and did not serve the intended purpose. Further, the method of selection of candidates and that of disbursements is cumbersome and time-consuming. In order to do away with these predicaments inherent in the scheme and to provide quality assistance to Schedule Caste (SC) students of Classes V to VIII in a smooth, transparent, and efficient way, a new scheme of providing assistance to the target group is being formulated in the name of ""Shikshashree Scheme"".
The ""Shikshashree Scheme"" scheme of providing assistance to SC day scholars of Class V-VIII is evolved by merging the existing schemes of Book Grants and Maintenance Grants. It is applicable to the day scholars of West Bengal reading in class V-VIII in any Government, Government-aided and all Government recognized schools of West Bengal.
Objective:
To provide financial assistance to the SC students reading in classes V to VIII to improve their participation in Pre-matric stages and minimize the incidence of drop-out especially in the case of girl students.
﻿","{""AGE"": [""2014-15""], ""GENDER"": [], ""LOCATION"": [""West Bengal"", ""West Bengal""], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [""Scheduled Caste"", ""SC"", ""SC"", ""SC""], ""EDUCATION"": [""matric""], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Soft Loan Scheme for Women Entrepreneurs,"The scheme “Soft Loan Scheme for Women Entrepreneurs” was started under Kerala Startup Mission (KSUM) to support women startups with a soft loan of an amount limited to ₹15 Lakhs as working capital for implementing works and projects received from the Govt. departments and the Public Sector Undertakings in Kerala.
Women Entrepreneurs:
Women entrepreneurs are defined as women or a group of women who initiate, organize, and operate a business enterprise.
A women's enterprise should have at least 51% of shares with women founders in the case of service enterprises.
In the case of women enterprises who have received equity funding, majority shares should be maintained with women founders/founders.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [""Kerala""], ""OCCUPATION"": [], ""INCOME"": [""15""], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Internship Programme for Women Students / Scholars / Social Activists / Teachers,"The Ministry of Women and Child Development launched the Internship Programme aims to tap the talent of the interns, giving them an opportunity to work for infusing further efficiency in implementation of schemes as also deliberate on its policies through different assignments. The Internship Programme would provide a common platform for meaningful interaction and space for research related to Government programs/initiatives. This Programme is expected to yield promptness in bridging possible information gaps pertaining to issues and problems of women and children in the country.
﻿
Objective:
The objective of the ‘Internship Programme’ is to translate the Hon’ble PM’s idea of “SABKA SATH, SABKA VIKAAS, SABKA VISHWAAS, SABKA PRAYAAS” for building a self-reliant India.
﻿
Duration:
The duration of the Internship Programme will be 2 months throughout the year
Interns can select any of the 2-month batches while submitting their applications
﻿
Number of Interns:
The ministry would take up to 20 interns per batch.","{""AGE"": [""2 months throughout the year"", ""2-month""], ""GENDER"": [], ""LOCATION"": [""India""], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Farmers Training Institute Scheme,"The “Farmers Training Institute Scheme” is a State Plan Scheme, which is implemented by the Department of Agriculture & Farmers’ Welfare, Government of Meghalaya. The objective of the scheme is to provide training to farmers at the village level on updated and innovative agriculture technology. The Training Institute facilitates exposure visits for farmers to agriculturally advanced states. The Scheme also facilitates exposure visits for farmers within and outside the State.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [""Farmers Training Institute Scheme"", ""the Department of Agriculture & Farmers\u2019 Welfare, Government of Meghalaya""], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Goa State Best Library and Best Librarian Award,"The scheme ""Goa State Best Library and Best Librarian Award"" has been designed by the Directorate of Art and Culture, Government of Goa envisaging grant of awards for one meritorious Library and one Librarian serving either in any Government or Government–aided Libraries in the State of Goa, which include the Public/Academic/Special/Research Libraries every year.
﻿
Objective
To recognize the hard work put in by the management of the Libraries and the Librarians and to give an impetus and encouragement to them by conferring awards on them for their contribution in the field of library movement.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [""Libraries"", ""the State of Goa"", ""Libraries""], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Leave Travelling Concession Scheme (P.B.O.C.W.W.B),"The ""Leave Travelling Concession Scheme'' by the BOCW Welfare Board, Department of Labour, Punjab, is a welfare scheme for the registered workers of the board. Under this scheme, the Board will provide a certain amount as leave travel concession to the registered construction workers for journeys to religious/ historical places in India or visiting their hometown.
﻿","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [""India""], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Indira Gandhi National Disability Pension Scheme - Jharkhand,"The scheme ""Indira Gandhi National Disability Pension Scheme"" is implemented by the Department of Women, Child Development & Social Security, Government of Jharkhand. Under this scheme, financial assistance is provided to severely disabled and multi-disabled individuals aged 18 and above who are living below the poverty line (BPL) to support them in living a respectful life.","{""AGE"": [""18""], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": [""Disability"", ""disabled"", ""disabled""]}"
Competitive Exam Coaching,"Competitive exam Coaching for tribal students scheme was launched in Rajasthan by Tribal Area Development Department in the year 2016-17. Free coaching to tribal candidates for various competitive examinations through Mankyi Lal Verma Tribal Research and Training Institute, Udaipur and Scheduled Area Project Officer's Office.
﻿
﻿
Applicants can obtain their application form free of cost from the Director, M.L.Verma Tribal Research and Training Institute, Udaipur or through the Office of the Project Officer of the Scheduled Area, fill the forms, attach the documents and submit it in the same office.
﻿
This scheme is applicable to these districts: Banswara, Chittorgarh, Dungarpur, Pali, Sirohi, Udaipur, Rajsamand, and Pratapgarh.
﻿
The applicant must have the following documents to apply for Competitive Exam Coaching :-
Education Qualification Marksheet / Certificate Copy
Domicile Certificate Copy
Caste Certificate Copy
Sowing Certificate Copy
﻿
This scheme can be availed only once by a student.
﻿","{""AGE"": [""the year 2016-17""], ""GENDER"": [], ""LOCATION"": [""Rajasthan"", ""Banswara"", ""Rajsamand""], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Pradhan Mantri Garib Kalyan Package : Insurance Scheme For Health Workers Fighting COVID-19,"The Pradhan Mantri Garib Kalyan Package: Insurance Scheme for Health Workers Fighting COVID-19 by the Ministry of Health and Family Welfare, Government of India, aims to provide financial protection to health workers combating the COVID-19 pandemic. Under this scheme, an insurance cover of ₹50,00,000/- is provided to healthcare professionals, including doctors, nurses, and other frontline workers. The scheme is implemented by the Department of Health and Family Welfare.
﻿
This accident insurance scheme covers:
Loss of life due to COVID-19, and
Accidental death on account of COVID-19-related duty.
﻿
Beneficiary
Public healthcare providers including community health workers, who may have to be indirect contact and care of COVID-19 patients and who may be at risk of being impacted by this.
Private hospital staff and retired /volunteer /local urban bodies/ contracted /daily wage /ad hoc/outsourced staff requisitioned by States/ Central hospitals/ autonomous hospitals of Central/ States/UTs, AIIMS and INIs/hospitals of Central Ministries can also be drafted for COVID-19-related responsibilities.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [""50,00,000/-""], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Development Of Playfield Under CMSGUY,"The ""Development of Playfield"" Scheme is a Component under the Umbrella Scheme of ""Chief Minister Samagra Gramya Unnayan Yojna (CMSGUY)"" by the Govt. of Assam. CMSGUY was launched by Hon'ble Chief Minister Sarbananda Sonowal on 5th February 2017 in Guwahati. The scheme is being implemented in a mega-mission mode across Assam. CMSGUY will be implemented through a saturation model by covering each revenue village through focused interventions in direct economic activities, logistic support including market linkages, and community support.
﻿
The scheme ""Development of Playfield"" is an Infrastructure Development Scheme by the Assam Youth Development Mission Society (AYDMS) formed under Chief Minister Samagra Gramya Unnayan Yojna (CMSGUY). AYDMS has decided to develop one playfield for the promotion of Games and Sports in the State through the Sports & Youth Welfare Department, Govt. of Assam. It has been decided to develop 500 Football Playfields during 2017-18 in the first phase of operation of the scheme. It has been proposed to develop one football playground and playing facilities like Volleyball Courts having a dressing room, store-cum-office, and toilet facilities. A boundary wall will also be provided for the protection of the playground.","{""AGE"": [""February 2017"", ""2017-18""], ""GENDER"": [], ""LOCATION"": [""Assam"", ""Guwahati"", ""Assam"", ""Govt"", ""Assam""], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Grant of Financial Assistance to the Press Reporters of Puducherry,"The scheme ""Grant of Financial Assistance to the Press Reporters of Puducherry"" by the Department of Information & Publicity, Union Territory of Puducherry, aims to provide financial support amounting to ₹25,000/- to eligible press reporters who have served in Newspaper / Magazine duly registered with the ""Registrar of Newspapers, Government of India, New Delhi"" continuously for atleast 10 years.","{""AGE"": [""10 years""], ""GENDER"": [], ""LOCATION"": [""New Delhi""], ""OCCUPATION"": [], ""INCOME"": [""25,000/-""], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Old Age Pension - Chandigarh,"The Old Age Pension Scheme under The Social Welfare, Women & Child Development Department of Chandigarh Government provides essential financial support to elderly citizens who have reached a certain age and may face economic challenges. Through this scheme, eligible senior citizens receive a monthly pension to help them meet their basic needs, including food, shelter, and healthcare expenses. By offering this assistance, the scheme plays a crucial role in ensuring the well-being and dignity of older individuals, particularly those who may lack adequate financial resources. Moreover, the scheme contributes to addressing issues of poverty and social exclusion among the elderly population, fostering a more inclusive and supportive society.
﻿
﻿","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Scheme to Provide Financial Assistance to Purchase Solar Power Unit/Kit for Solar Fencing around the Farm,"The ""Scheme to Provide Financial Assistance to Purchase Solar Power Unit/Kit for Solar Fencing around the Farm"" introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat, aims to support farmers by subsidizing the cost of solar power units/kits for farm fencing. By installing solar fencing, farmers can prevent crop destruction, increase agricultural productivity, and ensure better utilization of resources.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [""Gujarat""], ""OCCUPATION"": [""the Agriculture, Farmers Welfare and Cooperation Department""], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Madhugram Scheme Uttarakhand,"Details
The Uttarakhand government has started the Maun Palan Yojana with the aim of motivating the unemployed youth of the state for self-employment. Under this scheme, honey production units have to be established in the entire state.
This scheme is being run under the State Horticulture Mission of Uttarakhand. Under Maun Palan Uttarakhand, the state government will provide an 80% subsidy to youths who produce honey by beekeeping.
Under the Maun Palan Yojana Uttarakhand, the government will build honey villages at the panchayat level in various districts. Since this scheme has been made mainly for honey production in rural areas. That's why this scheme is also known as Madhu Gram Yojana or Madhu Vikas Yojana.
Maun Palan Scheme is a very ambitious scheme of Uttarakhand Government. Under this scheme, gram panchayats have been selected to establish Madhu Gram in 13 districts of Uttarakhand.
The government's intention behind launching this scheme is to reduce the rate of migration towards cities by providing employment in rural areas. Along with this, the state has to be made self-sufficient in terms of honey production.
Maun Palan Uttarakhand at present, there are about 7 thousand Maun Palan farmers in the entire state. Who are producing 2200 metric tonnes of honey in the state.
Now the new scheme will connect more and more unemployed youth with beekeeping and increase honey production. To make this scheme successful, the state government is going to give up to 80 percent subsidy to the Maun parents. So that more and more people can be connected with this scheme.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [""Madhu"", ""Yojana"", ""Madhu"", ""Yojana"", ""Uttarakhand""], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Vidyasiri food And Accommodation Scholarship Scheme,"Vidyasiri-Food and Accommodation Scholarship Scheme (VFAS) is specifically designed for students from backward classes pursuing post-matric courses in government, local, aided, and recognized private institutions affiliated with statutory universities in Karnataka. The scheme requires students to link their Aadhaar number to their bank account. To be eligible for the scheme, students must be citizens of India and permanent residents of Karnataka. They should belong to backward classes listed by the Government of India or the State Government. Students who have not secured admission in any departmental or government-funded student hostel and are studying in post-matric courses are eligible to apply. The scheme provides a monthly stipend of Rs. 1,500 for 10 months, totaling Rs. 15,000 per annum, which is directly credited to the students' bank accounts. The income of the student's family should fall within specific limits based on the category they belong to. The eligibility criteria also include minimum marks required in the previous year's annual examination for fresh and renewal students.","{""AGE"": [""10 months""], ""GENDER"": [], ""LOCATION"": [""Karnataka"", ""India"", ""Karnataka""], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [""matric"", ""matric""], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Programme For Internship For LL.B./ LL.M./ Environmental Studies/ Research Students,"The National Green Tribunal provides opportunities to college students by holding Summer Internship Programs (March, April, May and July ordinarily) and Winter Internship Programs (November, December and January ordinarily) Internship Programs for LL.B./ LL.M./ Environmental Studies/ Research Students.
﻿
Duration
The duration of the Internship will be 4 Weeks ordinarily.
The duration and timing of the internship may be altered by the Competent Authority as and when necessary.
﻿
Number of Slots
The maximum number of slots to be offered to the students shall be decided by the Competent Authority.","{""AGE"": [""4 Weeks""], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
General Pre Matric Scholarship-Uttar Pradesh,"The Social Welfare Department recognizes the importance of education in shaping the future, and is committed to providing opportunities for all.  That's why they offer scholarships to financially disadvantaged students from General castes, enrolled in Class 9 or 10. This program bridges the financial gap that can hinder a student's academic journey, empowering them to complete secondary school and pursue their educational goals. By alleviating the financial burden on families, the scholarship encourages students to stay in school, focus on their studies, and reach for a brighter future through higher education.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [""General""], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Supply of Kadaknath Chicks on Subsidy,"The scheme ""Supply of Kadaknath Chicken on Grant"" by the Animal Husbandry Department, Madhya Pradesh aims to improve the economic condition of beneficiaries through poultry farming and protect and promote the Kadaknath breed. Through this scheme, beneficiaries receive 40 chicks along with food grains, medicine, and transportation support for 28 days without gender discrimination. The scheme is being implemented in all districts of the state.","{""AGE"": [""28 days""], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
"Mukhyamantri Raut, Charavaaha Evan Doodh Duhane Vaale Saayakal Sahaayata Yojana","Labor Department of Chhattisgarh State started this scheme ""Mukhyamantri Raut, Charavaaha Evan Doodh Duhane Vaale Bicycle Sahaayata Yojana"" for unorganized worker on 10 September 2013. The main objective of the scheme to empower unorganized worker by providing financial assistance.","{""AGE"": [""10 September 2013""], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Manabik Scheme,"""Manabik"" Scheme was launched by the Department of Women & Child Development and Social Welfare, Government of West Bengal. This scheme is designed to provide financial support to individuals who are unable to work due to a disability. The aim is to assist individuals in maintaining a reasonable standard of living despite their inability to engage in gainful employment.
﻿","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": [""disability""]}"
Free Supply of Text Books,"The scheme ""Free Supply of Text Book"" by the Department of Education (DoE), Government of NCT of Delhi, aims to provide textbooks or cash in lieu of textbooks and writing material to students of Government and Aided Schools, ensuring equitable access to educational resources. The scheme offers financial assistance for purchasing textbooks and geometry boxes, with varying amounts based on class levels. Eligible beneficiaries include all students from Nursery to XII in Government and Aided Schools, irrespective of gender or income. The scheme is implemented by the Department of Education, GNCT of Delhi.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [""Delhi"", ""Government"", ""Delhi""], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Dr.Babasaheb Ambedkar Udyog Uday Yojana: Assistance of Capital Investment Subsidy,"The scheme ""Dr.Babasaheb Ambedkar Udyog Uday Yojana"" is an umbrella scheme launched by the Industries and Mines Department, Gujarat. It aims to empower the state's dynamic MSME sector, which significantly contributes to employment, GDP, and exports. Effective from August 7th, 2020 to August 6th, 2025, this initiative supports SC/ST entrepreneurs and strengthens MSMEs, making them globally competitive.
The component ""Assistance of Capital Investment Subsidy to Micro enterprises"" provides a capital investment subsidy to support micro-enterprises in manufacturing.","{""AGE"": [""August 7th, 2020"", ""August 6th, 2025""], ""GENDER"": [], ""LOCATION"": [""Yojana"", ""Gujarat""], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [""SC"", ""ST""], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Dr.Babasaheb Ambedkar Udyog Uday Yojana: Assistance for Raising Capital through SME Exchange,"The scheme ""Dr.Babasaheb Ambedkar Udyog Uday Yojana"" is an umbrella scheme launched by the Industries and Mines Department, Gujarat. It aims to empower the state's dynamic MSME sector, which significantly contributes to employment, GDP, and exports. Effective from August 7th, 2020 to August 6th, 2025, this initiative supports SC/ST entrepreneurs and strengthens MSMEs, making them globally competitive.
The component ""Assistance for Raising Capital through SME Exchange"" aims to help MSMEs raise equity capital by listing on SME Exchanges. It provides financial assistance to MSMEs for expenses incurred in this process, encouraging them to explore funding options through the capital markets.","{""AGE"": [""August 7th, 2020"", ""August 6th, 2025""], ""GENDER"": [], ""LOCATION"": [""Yojana"", ""Gujarat""], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [""SC"", ""ST""], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Rashtriya Gram Swaraj Abhiyan - Internship Program,"For Implementation of Centrally Sponsored Scheme of ""
Revamped Rashtriya Gram Swaraj Abhiyan""
(RGSA) (2022-23 to 2025-26), the Ministry of Panchayati Raj (MoPR), seeks to engage Students enrolled/pursuing undergraduate, graduate, or postgraduate degree programs and 'Young Research Scholars' enrolled/pursuing Doctoral (Ph.D.) or post-doctoral degrees in given academic disciplines below from recognized/reputed University(s)/Institution(s) within India or abroad for short-term (maximum of 3 months only) through an Internship program. The engagement of 'Selected Candidates' as 'Interns' will work in various Units, Cells, and Programmes of different Divisions of MoPR under the Revamped RGSA Scheme for the period of FY 2022-23 to 2025-26. The
‘Internship Program’
is specifically focusing on the ‘Office set-up of MoPR’. A detail list of intended domains/subject areas of research for which the ‘Interns’ are invited and shall be engaged is enclosed in ‘
Annexure – A
’ of detailed guidelines.
Objectives of the Program
To engage 'Students' and 'Research Scholars for tapping academic talents, knowledge, skills, and techniques to be best utilized and associated with the MoPR's Policy and Action Research work for mutual benefits.
The 'Interns' shall have an opportunity to know and get in-hand experience on the Stier Local Self-governments and other Government functioning, policies, schemes, development initiatives, and interventions for rural development in context to the socioeconomic, cultural, and political aspects.
The 'Interns' will have to provide relevant and logical inputs, suggestions, and recommendations through Data Analysis, Situational Analysis, Empirical and Evidence-Based Research through Quantitative & Qualitative Data Analysis, Desk Reviews, and Policy Analysis at the 'Office setup of MoPR' for preparing Policy Briefs and Working Papers.","{""AGE"": [""2022-23"", ""3 months"", ""2022-23""], ""GENDER"": [], ""LOCATION"": [""India""], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [""graduate"", ""postgraduate""], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Grant of Subsidy for Procurement of Vehicle,"Launched in 2010, the scheme ""Grant of Subsidy for Procurement of Vehicle"" is a Sub-Scheme under the Umbrella Scheme ""Puducherry Development of Shore Based Facilities, Ice Plants, Service Unit, Infrastructural Facilities and Quick Transport Facilities"" is a development scheme by the Department of Fisheries and Fishermen Welfare, Government of Puducherry. The scheme aims to facilitate the quick transportation of fish catches from landing centers to marketing places, thereby preventing/minimizing spoilage of fish. It provides a 50% subsidy for the procurement of specified vehicles.","{""AGE"": [""2010""], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Government of Goa State Scholarship to NDA Cadets,"The scheme ""State Scholarship to NDA Cadets"" is a Scholarship Scheme by the Directorate of Higher Education, Government of Goa. The objective of the scheme is to support NDA cadets from humble financial backgrounds undergoing training at the National Defence Academy, Khadakwasla, Pune. The scheme provides financial assistance to the underprivileged cadets hailing from Goa who have opted to serve the country by joining the Defence Services. The scheme aims to attract cadets from economically disadvantaged sections of society opting to serve the country by taking up such challenging jobs/training.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [""Khadakwasla""], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Hostel Scheme for Disabled Students,"The ""Hostel Scheme for Disabled Students"" scheme was started by the Social Justice and Empowerment of Persons with Disabilities Department, Government of Madhya Pradesh on 08.09.2008. The objective of the scheme is to provide hostel facilities to such disabled students who are taking admission in class 11th and above on a regular basis and in case of hostel facilities are not available in schools/colleges, by renting private buildings.
Under this scheme, the expenditure on electricity and water in each hostel will be borne by the government at the rate of ₹1,000/- per month. If the expenditure is more than this, the additional amount will be borne equally by the students. Only house rent, electricity, and water tax shall be borne by the Social Justice Department. Utensils, equipment, furniture, ration, water, cleaning, newspaper, sweeper, etc. rest of the arrangements will have to be made by the students themselves. The Department has no liability for this.","{""AGE"": [""08.09.2008""], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [""1,000/-""], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": [""Disabled"", ""disabled""]}"
Merit cum Means Scholarship: Polytechnic Institutions,"""Merit cum Means Scholarship: Polytechnic Institutions"" is a scholarship scheme by the Technical Education Department, Government of Chhattisgarh. The scheme provides ₹600/- per month to eligible students for pursuing education from recognized Polytechnic Institutions in Chhattisgarh. To be eligible, the student must have passed the 10+2 examination or the 10th/12th examination from any recognised institution located in Chhattisgarh with a minimum of 45% marks. The total annual income of the student's father/guardian should not exceed ₹ 2,50,000/-.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [""Chhattisgarh"", ""Chhattisgarh""], ""OCCUPATION"": [], ""INCOME"": [""600/-""], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Financial Assistance for Stage III & IV Cancer Patients,"The scheme “Financial Assistance for Stage III & IV Cancer Patients” was launched by the Social Justice and Empowerment Department, Government of Haryana. Under this scheme, monthly financial assistance/pension of ₹3,000/- will be provided to Stage III and IV cancer patients of Haryana from 01.01.2024. The scheme will be applicable for all age groups, Stage III, and IV cancer patients throughout the State of Haryana. The financial assistance provided under this scheme will be in addition to the benefits received by the applicant under any other social security pension scheme. This scheme shall come into operation from the date of its publication in the official Gazette.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [""3,000/-""], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Scheme or assistance for Start Ups/ Innovation: Assistance to Startups having a Significant Impact on Society,"The ""Scheme for Assistance for Start Ups/ Innovation"" is an umbrella scheme launched by the Industries and Mines Department, Gujarat under the  Gujarat Industrial Policy. Effective from August 7th, 2020 to August 6th, 2025, it aims to drive economic growth by generating jobs, fostering competition, and introducing next-gen solutions.
The component ""Assistance to Startups having a Significant Impact on Society"", provides financial assistance to startups that are developing innovative projects with a significant social impact.","{""AGE"": [""August 7th, 2020"", ""August 6th, 2025""], ""GENDER"": [], ""LOCATION"": [""Gujarat""], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Self Education for the Construction Workers,"The ""Skill Development for the Construction Workers"" by the Building and Other Construction Workers Welfare Board, Labour Department, U.T. Administration of Dadra and Nagar Haveli and Daman and Diu, is a welfare scheme for the registered workers of the board. Under this scheme, the Board will provide financial assistance in the form of reimbursement of the course fees for distance education from NOS/ University/ Professional Institute and an incentive for each degree.
﻿","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [""the Construction Workers"", ""the Building and Other Construction Workers Welfare Board""], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
